total_inflow_30d,inflow_regularity,inflow_trend,avg_payment_size,unique_customers_30d,repeat_customer_ratio,customer_growth_rate,savings_retention_rate,weekday_trading_ratio,association_verified,prior_repayment_score,neighbour_attested,repaid
84658.9,0.8551,0.1571,2911.24,21,0.5655,0.3523,0.2462,0.6964,1,0.9163,1,1
42104.47,0.7362,-0.2306,5276.39,46,0.7296,0.0833,0.2839,0.8394,1,0.0,0,1
99953.2,0.5058,0.2294,4747.87,39,0.7495,0.4926,0.2323,0.6155,0,0.0,0,1
261799.14,0.4999,-0.1397,45421.02,32,0.817,0.6189,0.279,0.8284,0,0.0,0,1
37889.58,0.5445,-0.0291,5512.76,39,0.7248,0.6478,0.2627,0.6791,1,0.0,0,1
37890.26,0.6522,0.085,1630.03,35,0.7938,0.3303,0.3549,0.4136,1,0.8603,1,1
278489.07,0.7546,0.3992,3692.59,27,0.7569,0.3493,0.1358,0.9175,0,0.5856,0,1
114025.59,0.8598,0.5998,813.53,24,0.9159,0.5461,0.1626,0.8075,1,0.0,0,1
29248.34,0.494,0.1492,3742.32,45,0.7181,0.4601,0.4362,0.7915,1,0.0,1,1
89037.78,0.4311,0.007,1901.22,15,0.7059,0.4324,0.3289,0.8272,1,0.0,1,0
29443.86,0.4459,0.1362,9171.46,18,0.5306,0.2773,0.1936,0.8037,0,0.8604,0,1
29369.07,0.4238,0.1998,2453.85,31,0.5153,0.5888,0.584,0.7968,1,0.0,0,1
63969.3,0.6584,-0.0177,3622.47,20,0.3675,0.2778,0.0353,0.6328,1,0.7511,0,0
5975.31,0.4979,0.3631,2271.05,43,0.6334,0.6332,0.2568,0.7184,1,0.0,0,1
7350.99,0.4832,0.0814,19244.22,22,0.27,0.1934,0.2428,0.8769,1,0.8464,0,0
26409.62,0.509,0.1296,3013.57,24,0.8103,0.4753,0.4506,0.8259,0,0.0,0,1
16088.91,0.4658,0.1599,20937.59,25,0.5383,0.1981,0.2012,0.9096,1,0.0,0,0
69263.41,0.4011,0.1159,8372.74,18,0.4869,0.5833,0.242,0.9729,1,0.7495,1,1
18054.92,0.8528,0.191,6209.65,34,0.206,0.7278,0.2777,0.4939,1,0.0,0,1
10367.86,0.4325,-0.0711,5607.5,24,0.7582,0.4006,0.1146,0.862,1,0.0,0,1
245785.29,0.6496,-0.0605,5735.43,43,0.7356,0.4911,0.2958,0.5552,0,0.0,0,1
38240.33,0.4846,-0.158,709.88,43,0.6508,0.7195,0.2714,0.9174,0,0.0,0,1
52800.77,0.6222,0.1191,3130.68,58,0.5648,0.5894,0.4817,0.6273,1,0.0,0,1
10226.9,0.8338,0.1802,8609.68,43,0.7234,0.2406,0.685,0.9562,1,0.8017,0,1
26934.92,0.4488,0.1224,3850.63,35,0.1191,0.3419,0.477,0.8719,1,0.916,0,0
55382.27,0.3733,0.3414,1136.07,29,0.5806,0.7271,0.2262,0.9058,0,0.0,0,1
13820.48,0.5522,0.039,3838.5,25,0.8222,0.3464,0.1082,0.6753,0,0.0,0,1
74107.19,0.3378,0.1604,18651.74,54,0.2691,0.5079,0.1627,0.7736,1,0.0,0,0
25318.67,0.3895,-0.1565,12359.78,25,0.2952,0.3283,0.1764,0.9278,0,0.0,1,0
35565.7,0.9255,-0.0297,3805.48,27,0.6418,0.402,0.1049,0.7924,0,0.0,0,1
25288.95,0.6997,0.1652,9473.98,36,0.396,0.768,0.453,0.8554,0,0.9338,0,1
376060.76,0.4008,0.1928,2893.27,22,0.7351,0.2716,0.3952,0.5297,1,0.0,0,1
48298.37,0.7691,-0.0129,868.28,25,0.3638,0.4057,0.2503,0.6859,1,0.0,1,1
15313.93,0.4281,0.0271,1751.07,27,0.547,0.3469,0.2364,0.7422,1,0.8726,1,1
121151.78,0.6717,-0.2332,16425.66,23,0.4954,0.6894,0.361,0.7531,0,0.5662,0,1
12798.36,0.5543,-0.0243,3144.49,29,0.6438,0.3348,0.3003,0.7365,0,0.6865,1,0
61682.16,0.7191,0.2003,3232.32,35,0.3939,0.7412,0.214,0.5311,0,0.8326,0,1
5678.05,0.6859,0.1435,3072.19,42,0.6982,0.7074,0.2189,0.6259,1,0.5244,1,0
11372.98,0.5538,0.1301,22330.82,29,0.3702,0.1683,0.4426,0.6093,1,0.0,0,1
60873.14,0.4293,0.049,17385.0,22,0.5614,0.302,0.1535,0.759,1,0.0,0,0
